Port_Label,Q1 2006_Index_Average_Q1_2023__100_Value,Q2 2006_Index_Average_Q1_2023__100_Value,Q3 2006_Index_Average_Q1_2023__100_Value,Q4 2006_Index_Average_Q1_2023__100_Value,Q1 2007_Index_Average_Q1_2023__100_Value,Q2 2007_Index_Average_Q1_2023__100_Value,Q3 2007_Index_Average_Q1_2023__100_Value,Q4 2007_Index_Average_Q1_2023__100_Value,Q1 2008_Index_Average_Q1_2023__100_Value,Q2 2008_Index_Average_Q1_2023__100_Value,Q3 2008_Index_Average_Q1_2023__100_Value,Q4 2008_Index_Average_Q1_2023__100_Value,Q1 2009_Index_Average_Q1_2023__100_Value,Q2 2009_Index_Average_Q1_2023__100_Value,Q3 2009_Index_Average_Q1_2023__100_Value,Q4 2009_Index_Average_Q1_2023__100_Value,Q1 2010_Index_Average_Q1_2023__100_Value,Q2 2010_Index_Average_Q1_2023__100_Value,Q3 2010_Index_Average_Q1_2023__100_Value,Q4 2010_Index_Average_Q1_2023__100_Value,Q1 2011_Index_Average_Q1_2023__100_Value,Q2 2011_Index_Average_Q1_2023__100_Value,Q3 2011_Index_Average_Q1_2023__100_Value,Q4 2011_Index_Average_Q1_2023__100_Value,Q1 2012_Index_Average_Q1_2023__100_Value,Q2 2012_Index_Average_Q1_2023__100_Value,Q3 2012_Index_Average_Q1_2023__100_Value,Q4 2012_Index_Average_Q1_2023__100_Value,Q1 2013_Index_Average_Q1_2023__100_Value,Q2 2013_Index_Average_Q1_2023__100_Value,Q3 2013_Index_Average_Q1_2023__100_Value,Q4 2013_Index_Average_Q1_2023__100_Value,Q1 2014_Index_Average_Q1_2023__100_Value,Q2 2014_Index_Average_Q1_2023__100_Value,Q3 2014_Index_Average_Q1_2023__100_Value,Q4 2014_Index_Average_Q1_2023__100_Value,Q1 2015_Index_Average_Q1_2023__100_Value,Q2 2015_Index_Average_Q1_2023__100_Value,Q3 2015_Index_Average_Q1_2023__100_Value,Q4 2015_Index_Average_Q1_2023__100_Value,Q1 2016_Index_Average_Q1_2023__100_Value,Q2 2016_Index_Average_Q1_2023__100_Value,Q3 2016_Index_Average_Q1_2023__100_Value,Q4 2016_Index_Average_Q1_2023__100_Value,Q1 2017_Index_Average_Q1_2023__100_Value,Q2 2017_Index_Average_Q1_2023__100_Value,Q3 2017_Index_Average_Q1_2023__100_Value,Q4 2017_Index_Average_Q1_2023__100_Value,Q1 2018_Index_Average_Q1_2023__100_Value,Q2 2018_Index_Average_Q1_2023__100_Value,Q3 2018_Index_Average_Q1_2023__100_Value,Q4 2018_Index_Average_Q1_2023__100_Value,Q1 2019_Index_Average_Q1_2023__100_Value,Q2 2019_Index_Average_Q1_2023__100_Value,Q3 2019_Index_Average_Q1_2023__100_Value,Q4 2019_Index_Average_Q1_2023__100_Value,Q1 2020_Index_Average_Q1_2023__100_Value,Q2 2020_Index_Average_Q1_2023__100_Value,Q3 2020_Index_Average_Q1_2023__100_Value,Q4 2020_Index_Average_Q1_2023__100_Value,Q1 2021_Index_Average_Q1_2023__100_Value,Q2 2021_Index_Average_Q1_2023__100_Value,Q3 2021_Index_Average_Q1_2023__100_Value,Q4 2021_Index_Average_Q1_2023__100_Value,Q1 2022_Index_Average_Q1_2023__100_Value,Q2 2022_Index_Average_Q1_2023__100_Value,Q3 2022_Index_Average_Q1_2023__100_Value,Q4 2022_Index_Average_Q1_2023__100_Value,Q1 2023_Index_Average_Q1_2023__100_Value,Q2 2023_Index_Average_Q1_2023__100_Value,Q3 2023_Index_Average_Q1_2023__100_Value,Q4 2023_Index_Average_Q1_2023__100_Value,Q1 2024_Index_Average_Q1_2023__100_Value,Q2 2024_Index_Average_Q1_2023__100_Value,Q3 2024_Index_Average_Q1_2023__100_Value,Q4 2024_Index_Average_Q1_2023__100_Value,Q1 2025_Index_Average_Q1_2023__100_Value,Q2 2025_Index_Average_Q1_2023__100_Value,Q3 2025_Index_Average_Q1_2023__100_Value,Q4 2025_Index_Average_Q1_2023__100_Value,Q1 2026_Index_Average_Q1_2023__100_Value,Q2 2026_Index_Average_Q1_2023__100_Value
"United Arab Emirates, Ahmed Bin Rashid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.95,10.95,10.95,10.95,10.95,10.95,10.95,10.95,10.95,10.95,10.95,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96
"United Arab Emirates, Ajman",23.11,23.11,23.11,23.11,30.79,31.42,31.42,16.93,7.34,7.34,7.34,54.91,38.79,38.79,26.97,26.97,26.97,26.97,26.97,33.95,33.95,33.95,33.95,33.95,44.58,44.58,51.69,46.01,46.01,41.75,41.75,41.75,41.75,34.64,34.64,26.97,26.97,26.97,26.97,36.45,36.45,36.45,36.45,30.01,30.01,30.01,30.01,30.01,30.01,30.01,30.01,30.01,30.01,30.01,30.01,30.01,30.01,30.01,30.01,30.01,30.01,21.29,20.07,20.07,20.07,20.02,20.02,29.07,29.07,29.07,29.07,36.43,36.43,37.06,37.06,36.66,36.66,36.66,36.66,36.66,42.53,36.3
"United Arab Emirates, Dubai",336.64,330.12,349.84,341.98,376.33,351.55,343.92,335.19,321.09,275.94,206.9,139.14,118.57,84.05,77.16,77.16,63.62,63.62,63.56,49.43,49.43,31.51,31.51,31.51,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.94,21.94,21.94,21.94,21.94,21.94,21.94,21.87,21.87,21.87,21.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Arab Emirates, Fujairah",37.38,37.38,44.87,44.87,48.65,24.47,24.57,24.57,29.89,16.16,16.72,16.72,16.72,16.72,14.81,52.23,52.16,23.17,37.6,25.83,25.83,25.84,25.84,25.84,33.25,33.25,32.75,32.75,33.04,32.41,33.19,34.25,15.15,15.15,15.15,15.15,15.15,20.49,,,11.26,11.26,,,,,,,,,,,18.11,18.75,,,,,,,,,,,,,,,13.37,13.42,12.85,13.08,13.08,13.01,15.85,,,,,,,111.01
"United Arab Emirates, Hamriya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.48
"United Arab Emirates, Jebel Ali",479.44,483.96,504.79,509.6,506,552.44,554.43,577.98,604.62,639.19,708.51,761.09,785.8,768.32,746.22,735.47,728.56,729.34,717.57,720.81,742.52,732.09,751.56,740.3,729.99,720.29,739.58,742.33,748.52,756.53,744.87,731.7,724.69,731.17,735.13,730.94,705.88,702.78,727.7,748.53,759.65,753.87,803.87,765.43,763.4,752.25,735.87,748,776.36,772.14,752.59,728.8,732.52,747.78,718.87,730.31,720.19,715.97,728.97,704.35,697.6,685.3,677.22,649.58,665.9,671.28,680.29,687.12,735.47,755.43,763.45,757.49,754.07,733.13,750.35,780.93,834.25,816.5,776.39,790.93,775.48,225.66
"United Arab Emirates, Khalifa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.83,121.27,131.58,136.44,126.31,134.77,166.03,160.35,160.2,171.33,181.65,196.19,185.11,200.18,190.49,198.75,192.22,185.42,195.81,190.58,202.66,200.01,204.55,204.22,193.11,247.42,271.37,286.39,280.91,297.53,302.56,327.19,347.69,346.42,328.14,305.9,297.81,311.13,315.14,322.85,344.83,367.22,365.15,397.15,364.1,354.62,323.33,312.82,337.28,374.05,375.14,416.03,404.73,107.44
"United Arab Emirates, Khor Fakkan",172.26,178.82,178.68,178.08,183.84,186.73,184.71,184.4,189.48,188.61,191.58,222.55,219.45,203.42,201.12,201.51,218.5,213.75,212.12,224.27,223.37,216.68,222.86,220.28,230.98,231.15,252.5,279.66,274.6,271.21,268.86,267.64,271.14,274.36,270.19,262,259.15,259.76,266.19,257.67,261.28,236.02,243.69,239.52,234.76,225.74,241.28,241.59,246.59,227.26,213.31,203.67,54.93,94.46,86.6,73.31,66.98,66.98,67.04,67.11,64.53,64.53,67.11,67.25,61.4,61.31,58.78,58.78,58.78,58.78,58.78,58.78,58.78,60.76,81.4,92.68,82.18,82.18,89.03,90.07,58.05,167.51
"United Arab Emirates, Mina Saqr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.95,11.95,19.17,,,,15.96,15.96,15.96,15.96,15.96,23.47,23.47,23.47,23.47,23.47,23.47,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5
"United Arab Emirates, Ras al Khaimah",,,,,,,,20.71,13.06,13.06,13.06,13.54,,,22.52,22.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.18,12.18,12.18,12.18,,,,,,11.77,11.77,11.77,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,38.58,39.72,44.33,35.5,11.74,11.74,11.74,20.46,11.74
"United Arab Emirates, Ruwais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.63,16.63,16.63,16.63,16.63,16.63,16.68,16.68,16.68,16.68,16.63,16.63,29.24,29.24,29.24,29.24,29.24,29.24,23.7,23.7,23.7,23.7,23.7,22.84,22.84,22.84,22.84,22.84,22.84,22.84,22.84,22.84,22.88,22.88,22.88,22.88,22.88,22.88,22.88,22.88,22.88
"United Arab Emirates, Sharjah",85.89,78.17,75.19,75.19,82.04,88.16,85.37,86.42,95.29,89.92,81.53,119.92,106.25,76.51,100.07,101.31,106.66,106.66,110.82,109.83,110.14,108.67,107.67,114.54,107.21,100.21,126.4,121.9,118.48,113.95,117.94,107.84,94.33,94.32,86.1,103,114.93,100.41,100.41,101.69,107.59,109.05,108.47,66.11,77.04,94.15,92.28,91.01,90,100.6,106.58,112.66,112.76,117.68,122.94,116.85,104.57,99.64,99.52,104.03,103.95,66.79,68.8,53.33,53.33,62.32,62.32,69.82,69.82,90.22,83.87,89.91,99.68,97.33,90.29,101.26,102.06,100.85,100.52,91.4,95.06,112.7
"United Arab Emirates, Umm al Qaiwain",12.17,12.17,12.17,12.17,12.17,12.17,12.17,10.02,10.02,10.02,10.02,22.21,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,12.91,,,,,,,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15,11.15
"United Kingdom, Aberdeen",36.27,36.15,36.15,35.45,39.32,39.4,39.39,39.4,40.01,48.73,49.09,49.09,40.75,40.75,37.18,36.74,42.71,43.51,43.51,42.88,35.14,34.92,34.92,34.92,34.92,35.37,35.24,35.24,36.51,37.16,45.06,45.06,45.11,42.72,35.41,36.78,36.64,30.05,29.41,28.77,31.19,31.2,31.2,31.2,31.18,31.18,31.18,20.18,20.18,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,23.91,23.91,23.91,23.91,23.91,23.91,22.65,22.65,25.26,25.26,25.26,25.26,25.26,25.26,25.26,25.27,25.27,25.89,29.71,29.71,29.71,29.71,29.71,29.71
"United Kingdom, Avonmouth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.95,18.95,18.95,18.95,18.95,18.95,18.31,18.31,18.31,18.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Kingdom, Belfast",67.09,76.11,69.85,68.3,65.48,70.06,73.37,72.98,74,72.09,72.92,72.96,69.75,72.33,73.9,73.9,74.35,66.72,64.98,63.1,61.9,61.95,55.94,49.82,49.82,49.83,49.19,49.28,54.99,43.3,48,46.44,50.4,50.46,50.4,42.78,42.78,46.15,36.76,42.08,45.72,48.76,46.49,38.32,30.47,33.2,33.2,33.2,34.72,34.16,34.03,38.29,34.54,34.54,29.54,34.09,35.79,30.57,30.59,29.77,30.61,31.81,36.09,35.85,35.85,36.01,32.12,41.63,38.21,36.31,45.69,39.67,83.48,84.22,76.75,82.23,82.21,79.33,79.94,79.94,77.44,79.31
"United Kingdom, Blyth",23.49,15.15,15.15,20.19,20.81,20.81,20.81,21.45,7.79,7.79,8.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,10.22,10.22,10.22,10.22,10.22,10.22,7.81,8.44,8.44,8.44,10.22,10.22,10.22,10.22,16.71,8.31,8.31,8.31,8.31,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.04,9.04,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.04,9.04,9.05,9.05,9.05,9.05,9.69,16.82,16.82,17.52,17.52
"United Kingdom, Boston (GB)",,,,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Kingdom, Bristol",56.69,51.56,44.82,39.11,43.61,25.96,17.36,18.79,19.42,19.4,19.4,19.4,19.14,19.14,26.58,26.58,20.31,26.9,27.14,20.09,17.99,17.99,19.26,19.26,21.96,28.66,22.06,20.26,10.04,10.04,10.04,10.04,10.04,29.14,29.14,33.65,32.95,32.95,39.91,39.43,46.7,46.66,46.72,44.06,47.24,42.64,47.8,32.07,34.43,46.51,51.29,61.51,61.56,51.26,46.38,48.61,48.49,37.72,37.61,37.89,50.02,41.55,41.16,43.73,60.53,55.83,55.93,55.66,46.92,36.5,40.93,40.54,48.16,45.03,27.06,29.1,29.16,29.16,27.16,19.86,22.08,14.64
"United Kingdom, Cardiff",11.91,11.91,11.91,11.91,11.91,11.91,11.91,11.91,11.91,11.91,11.91,22.46,15.97,15.99,23.41,23.41,23.05,23.05,23.05,23.05,23.05,23.05,23.05,23.05,23.05,24.96,25.01,25.01,16.89,26.33,26.37,18.31,24.74,24.74,24.74,24.74,24.74,24.74,24.74,24.74,24.74,24.74,24.74,27.86,27.86,27.86,27.86,18.95,18.95,10.76,10.76,10.76,10.76,10.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Kingdom, Dagenham",33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.32,28.74,28.74,28.74,28.74,28.74,10.28,19.51,19.51,,,,,,,,,,,,,,,,,,,,,
"United Kingdom, Dartford",29.03,29.03,29.03,29.03,29.03,29.03,29.03,29.03,,19.22,19.22,19.22,19.22,19.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Kingdom, Douglas",,,,,,,,,,,,,,,,,,,,,17.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Kingdom, Dover",16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.83,16.83,24.43,24.45,24.45,23.79,34.06,34.06,34.06,34.06,34.06,34.06,34.21,34.19,34.19,34.19,34.19,34.18,34.18,41.89,35.43,35.43,35.43,35.43,36.62,36.62,34.66,34.66,34.66,34.66,26.9,26.9,26.9,26.9,16.53,16.53,16.74,16.74,16.74,16.74,16.74,21.86,21.86,21.86,22.46,22.46,22.46,22.45,21.38,10.33,10.54,18.78,19.4,19.4,19.41,13.17,13.17,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56
"United Kingdom, Dundee",,,,,,,,,,,,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Kingdom, Ellesmere Port",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,8.36,,,,,,,,,,,,9,9.64,9.64,,,,,,,,,,,,,,,,,,,,,,,,,
"United Kingdom, Felixstowe",486.01,497.04,491.53,508.85,496.56,482.26,465.29,467.15,449.77,431.37,427.47,423.89,438.91,438.4,461.96,461.07,453.96,468.99,470.57,458.25,448.58,458.61,455.7,436.85,436.09,424.95,422.41,430.14,400.04,406.89,402.83,403.03,387.99,385.66,395.56,391.67,390.06,382.4,406.01,401.84,402.43,416.36,392.91,391.77,393.15,382.99,378.78,368.41,388.08,381.68,353.56,282.07,297.68,295.93,299.9,302.39,314.58,319.54,317.08,315.9,275.31,291.31,304.57,265.4,255.02,266.33,263.11,265.85,266.62,292.68,293.18,304.97,296.14,302.05,307.23,316.6,273.56,262.22,340.88,336.98,338.66,330.06
"United Kingdom, Fowey",,,,,,,,,,,,,,,,,,,,7.08,7.08,7.08,7.08,7.08,,,,,,12.23,12.23,12.23,12.23,12.23,12.23,12.23,12.23,14.83,14.83,14.83,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7.59,7.59,7.59,7.59,7.59,7.59,7.59,7.59,7.59,7.59,7.59,7.59,7.59
"United Kingdom, Goole",34.6,38.34,41.1,26.7,19.62,19.62,19.62,20.04,20.04,20.04,20.67,18.93,21.49,21.49,21.49,21.49,21.49,21.49,21.49,21.49,21.49,21.49,24.87,24.87,12.81,12.81,12.81,12.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Kingdom, Grangemouth",52.5,53.14,53.14,47.57,47.58,48.29,48.29,48.29,37.77,37.71,35.18,40.9,47.49,48.86,48.86,57.42,57.6,56.76,70.34,65.65,66.76,63.2,60.56,59.36,61.04,64.55,64.55,68.22,69.2,56.06,51.86,44.92,53.51,53.5,56.69,59.5,57.09,56.56,49.15,48.47,48.47,56.45,56.97,52.76,46.72,43.08,45.47,41.81,45.49,45.37,38.14,42.92,42.24,41.59,40.09,40.72,41.43,36.74,37.22,44.72,44.4,44.66,40.83,45.12,37.46,45.3,50.95,46.22,41.37,47.29,49.85,49.85,46.37,47.63,48.09,38.44,38.44,46.52,46.54,46.57,46.57,51.32
"United Kingdom, Greenock",32.48,38.68,38.68,32.88,32.88,32.92,40.1,43.39,43.61,43.38,43.98,43.35,43.11,42.97,42.36,42.36,36.29,35.88,35.9,46.31,46.38,43.17,48.08,40.75,34.32,28.32,28.32,23.3,35.06,35.09,41.81,37.41,37.36,37.36,37.42,41.56,41.39,35.35,49.96,50.63,46.47,53.11,51.69,47.61,44.51,45.15,43.77,46.24,46.24,44.22,44.77,45.5,44.02,45.28,43,52.43,57.12,50.57,51.11,43.92,58.06,50.42,49.96,52.54,53.02,45.51,51.3,51.99,48.81,52.51,56.83,53.94,60.9,58.66,33.71,34.55,34.62,34.59,45.85,40.32,36.97,38.45
"United Kingdom, Harwich",22.58,22.58,22.58,22.58,27.57,27.56,27.56,27.59,27.59,27.58,25.36,37.26,37.26,37.26,43.26,43.26,52.07,52.13,44.83,32.95,48.03,48.71,57.82,57.82,57.82,36.82,36.82,30.35,30.35,30.35,18.66,18.66,18.66,18.66,18.66,15.46,15.46,15.46,15.46,15.46,15.46,17.79,17.79,17.79,17.79,17.79,17.79,17.79,17.79,17.79,17.79,17.79,17.79,17.79,48.2,40.82,17.79,17.79,15.84,,,,,,,,,,,,,,,,,,,,,,,
"United Kingdom, Hull",92.25,110.41,110.41,113.37,117.92,122.15,107.79,103.26,88.9,81.85,60.93,60.65,65.58,58.54,39.26,39.26,38.62,40.54,40.54,48.91,48.91,47.64,48.95,52.49,59.53,64.18,64.18,60.53,64.5,44,30.06,39.8,36.18,32.58,32.58,32.58,32.58,35.03,29.43,25.29,25.29,34.84,36.83,36.83,36.83,43.48,50.77,43.65,47.49,53.63,80.99,85.48,89.22,86.79,82.49,82.49,82.49,74.81,83.87,78.73,77.41,78.09,85.85,80.11,79.06,79.06,83.61,83.67,87.74,92.13,98.2,102.19,90.58,71.9,71.98,71.98,71.98,66.83,76.93,76.93,73.01,70.61
"United Kingdom, Immingham",111.42,103.99,103.99,120.62,128.9,120.01,111.59,109.52,113.01,110.78,108.78,104.36,108.44,109.47,106.68,105.64,90.22,102.07,110.46,96.83,96.86,86.97,90.7,89.51,68.91,68.8,68.8,73.29,72.81,98.96,104.94,99.17,103.34,119.76,124.59,107.71,107.73,101.56,106.48,93.72,97.86,108.36,108.24,108.8,102.76,95.07,94,102.45,98.96,99.12,90.88,79.82,74.25,63.53,81.23,87.74,80.62,81.91,81.9,87.03,78.83,69.91,85.83,85.83,82.24,86.98,73.61,71.34,79.36,73.29,72.51,69.13,69.1,79.65,78.89,79.51,81.07,81.69,67.18,67.18,76.89,76.89
"United Kingdom, Ipswich",26.35,24.24,24.15,17.51,17.51,17.51,17.51,17.51,43.3,43.3,43.31,9.53,9.54,9.54,9.54,9.54,9.54,9.54,9.54,9.54,9.54,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,15.43,15.43,15.43,15.43,15.43,15.43,15.43,10.17,10.17,10.17,10.17,10.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Kingdom, Irlam",11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,,,,,,,,,,,,,,,,,,,10.84,10.84,10.84,10.84,10.84,9,9,9,9,8.36,8.36,9,9,8.36,9.64,9.64,10.27,10.27,10.27,10.27,8.36,8.36,8.36,8.36,8.36,9,9.64,9.64,,,,,,,,,,,,,,,,,,,,,,,,,
"United Kingdom, Killingholme",,,,,,,,,21.22,,,,,,15.99,15.99,15.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.29,16.29,16.29,16.29,16.29,16.29,16.29,17.44,17.44,17.44,19.31,17.44,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Kingdom, Kirkwall",9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Kingdom, Lerwick",9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,9.17,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Kingdom, Liverpool (GB)",138.79,142.93,153.83,153.23,153.95,154.25,162.58,152.65,146.68,122.16,123.05,115.08,110.12,117.66,99.56,99.56,99.94,106.47,110.27,111.12,128.12,111.3,118.03,118.02,118.77,123.73,123.18,125.31,123.84,127.26,130.13,130.58,130.42,130.5,123.72,127.01,130.56,126.07,125.21,126.54,133.3,137.57,140.86,120.31,119.63,125.06,126.28,131.05,128.02,129.23,149.5,130.62,136.9,145.28,140.8,140.63,138.62,117.55,170.55,126.61,148.6,158.67,130.17,138.24,137.08,136.47,128.83,119.27,110.5,115.93,122.08,124.19,159.98,163.03,192.55,214.92,160.89,162.87,169.85,174.4,160.39,157.45
"United Kingdom, London Gateway",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.58,92.97,128.31,123.04,126.25,123.94,138.58,131.68,129.51,141.1,142.12,140.87,163.89,216.4,234.48,255.71,264.48,258.18,249.21,280.41,309.74,328.25,321.09,343.94,346.92,331.84,360.88,365.86,372.72,336.65,339.89,348.46,344.84,350.62,341.51,349.8,336.55,339.96,329.2,335.46,352.12,357.73,372.66,377.12,426.89,441.04,352.86,361.62,374.75,374.08
"United Kingdom, Marchwood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.18,9.18,9.18,8.55,9.19,9.19,9.19,9.19,,,,
"United Kingdom, Newhaven",7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Kingdom, Poole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,,,
"United Kingdom, Portsmouth (GB)",33.48,33.48,33.48,33.5,39.7,39.69,39.69,39.7,55.68,55.68,41.24,42.73,33.32,32.72,32.69,32.69,34.13,34.13,31.04,33.49,33.53,33.53,32.34,32.99,31.72,31.72,31.72,23.11,22.48,30.96,20.15,34.04,34.04,34.68,43.91,33.16,33.16,41.53,28.53,38.9,44.25,49.85,38.77,48.4,55.38,48.62,48.61,57.47,48.64,39.78,29.84,38.63,48.89,37.59,42.04,41.47,37.76,39.65,29.32,29.31,29.31,29.32,29.32,32.93,34.39,34.39,34.39,48.46,34.39,34.39,34.39,34.39,34.39,34.56,24.13,24.13,24.13,24.13,24.13,24.13,24.13,24.13
"United Kingdom, Purfleet",,,,17.09,17.09,17.09,17.09,17.09,17.09,56.89,56.89,39.42,35.12,35.12,19.22,19.22,19.22,15.99,15.99,15.99,15.99,15.99,15.99,29.83,29.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,10.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Kingdom, Scrabster",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,8.4,10.04,10.04,10.04,10.04,10.04,10.04,10.68,10.68,10.68,10.68,10.68,10.68,10.68,,,,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,,,,,,,,,,
